Date,Open AAPL,Close AAPL,Volume AAPL,Open MSFT,Close MSFT,Volume MSFT,Open GOOG,Close GOOG,Volume GOOG,Open AMZN,Close AMZN,Volume AMZN,Open NVDA,Close NVDA,Volume NVDA,Open BRKB,Close BRKB,Volume BRKB,Open TSLA,Close TSLA,Volume TSLA,Open META,Close META,Volume META,Open JNJ,Close JNJ,Volume JNJ,Open V,Close V,Volume V,Daily Volume
2022-06-22,134.789993,135.350006,73409200,251.889999,253.130005,25939900,102.970001,103.629997,64540100,107.43,108.949997,60040100,130.119995,133.820007,56968500,267.380005,269.790009,4220700,300.089996,309.070007,60231200,145.240005,148.020004,22169500,166.300003,166.279999,7380900,191.589996,193.13,8133600,383033700
2022-06-23,136.820007,138.270004,72433800,255.570007,258.859985,25861400,102.540001,103.849998,19738600,110.389999,112.440002,64345300,132.149994,131.759995,52481800,269.850006,267.519989,4727400,306.910004,308.730011,61642800,145.779999,146.089996,23217400,165.220001,164.970001,7143400,191.1,192.07,5292500,336884400
2022-06-24,139.899994,141.660004,89116800,261.809998,267.700012,33923200,102.879997,101.830002,24001700,112.379997,116.459999,69867600,132.130005,132.610001,80767900,268.970001,278.279999,6451900,308.290009,300.799988,62555700,146.389999,142.119995,38338600,165.020004,163.279999,8071200,192.529999,187.020004,6705900,419800500
2022-06-27,142.699997,141.660004,70207900,268.209991,264.890015,24615100,102.239998,100.010002,26596800,117.089996,113.220001,62133200,130.699997,125.610001,75916200,280.529999,278.399994,4134800,299.859985,288.589996,70545400,141.550003,142.820007,34418500,163.149994,166.179993,7401100,186.35,185.78,6604700,382573700
2022-06-28,142.130005,137.440002,67083400,263.980011,256.480011,27295500,99.449997,100.57,21272700,113.5,107.400002,74942900,124.199997,125.160004,66330900,280.51001,273.859985,3868000,283.089996,275.329987,63748400,141.419998,140.410004,31710700,165.740005,166.720001,9598600,183.470001,183.96,10755800,376606900
2022-06-29,137.460007,139.229996,66242400,257.589996,260.26001,20069800,100.059998,99.169998,25657000,107.379997,108.919998,66375300,124.910004,122.279999,54734300,274.950012,273.48999,2995900,271.829987,276.01001,58076900,140.119995,136.369995,30497000,165.800003,165.699997,8735500,183.03,180.589996,9914600,343298700
2022-06-30,137.25,136.720001,98964500,257.049988,256.829987,31730900,98.610001,98.809998,22437900,108.110001,106.209999,97679400,125.07,124.129997,55385400,270.51001,273.019989,4623500,283.839996,282.940002,61925200,137.919998,134.399994,30826500,166.360001,164.940002,8686700,182.509995,177.869995,9799600,422059600
2022-07-01,136.039993,138.929993,71051600,256.390015,259.579987,22837700,99.910004,98.089996,24225000,106.290001,109.559998,73021200,124.099998,127.360001,54241400,272.5,277.5,3667300,283.079987,287.809998,54664800,134.619995,141.610001,32658500,166.25,166.360001,8660900,177.259995,179.17,9751000,354779400
2022-07-05,137.770004,141.559998,73353800,256.160004,262.850006,22941000,98.019997,100.739998,24617000,107.599998,113.5,76583700,124.480003,122.199997,53276300,274.200012,275.690002,3676900,282.76001,268.209991,77620600,139.360001,136.410004,38985400,166.479996,164.529999,7008100,178.830002,180.059998,9105200,387168000
2022-07-06,141.350006,142.919998,74064300,263.75,266.209991,23824400,99.300003,98.089996,21921500,113.209999,114.330002,66958900,120.870003,121.389999,56563800,274.839996,275.649994,3033900,266.149994,265.25,67726600,136.050003,135.679993,33166400,165,163.360001,8985200,180.059998,177.64,9472300,365717300
